net,wires
"(23,50)","[(4,2,0),(np.int64(5),np.int64(2),np.int64(0)),(np.int64(5),np.int64(2),np.int64(1)),(np.int64(5),np.int64(2),np.int64(2)),(np.int64(6),np.int64(2),np.int64(2)),(np.int64(6),np.int64(2),np.int64(3)),(np.int64(6),np.int64(2),np.int64(4)),(np.int64(7),np.int64(2),np.int64(4)),(np.int64(8),np.int64(2),np.int64(4)),(np.int64(9),np.int64(2),np.int64(4)),(np.int64(10),np.int64(2),np.int64(4)),(np.int64(11),np.int64(2),np.int64(4)),(np.int64(12),np.int64(2),np.int64(4)),(np.int64(13),np.int64(2),np.int64(4)),(np.int64(13),np.int64(3),np.int64(4)),(np.int64(13),np.int64(4),np.int64(4)),(np.int64(14),np.int64(4),np.int64(4)),(np.int64(14),np.int64(5),np.int64(4)),(np.int64(14),np.int64(6),np.int64(4)),(np.int64(14),np.int64(7),np.int64(4)),(np.int64(14),np.int64(8),np.int64(4)),(np.int64(15),np.int64(8),np.int64(4)),(np.int64(15),np.int64(9),np.int64(4)),(np.int64(15),np.int64(9),np.int64(3)),(np.int64(15),np.int64(10),np.int64(3)),(np.int64(15),np.int64(11),np.int64(3)),(np.int64(15),np.int64(12),np.int64(3)),(np.int64(15),np.int64(13),np.int64(3)),(np.int64(15),np.int64(14),np.int64(3)),(np.int64(15),np.int64(15),np.int64(3)),(np.int64(15),np.int64(15),np.int64(2)),(np.int64(15),np.int64(15),np.int64(1)),(15,15,0)]"
"(1,13)","[(8,12,0),(np.int64(7),np.int64(12),np.int64(0)),(np.int64(7),np.int64(13),np.int64(0)),(np.int64(7),np.int64(13),np.int64(1)),(np.int64(7),np.int64(14),np.int64(1)),(np.int64(6),np.int64(14),np.int64(1)),(np.int64(6),np.int64(15),np.int64(1)),(6,15,0)]"
"(35,46)","[(3,14,0),(np.int64(3),np.int64(14),np.int64(1)),(np.int64(3),np.int64(13),np.int64(1)),(np.int64(4),np.int64(13),np.int64(1)),(np.int64(5),np.int64(13),np.int64(1)),(np.int64(5),np.int64(13),np.int64(2)),(np.int64(6),np.int64(13),np.int64(2)),(np.int64(7),np.int64(13),np.int64(2)),(np.int64(8),np.int64(13),np.int64(2)),(np.int64(9),np.int64(13),np.int64(2)),(np.int64(10),np.int64(13),np.int64(2)),(np.int64(11),np.int64(13),np.int64(2)),(np.int64(11),np.int64(12),np.int64(2)),(np.int64(11),np.int64(11),np.int64(2)),(np.int64(11),np.int64(10),np.int64(2)),(np.int64(11),np.int64(9),np.int64(2)),(np.int64(12),np.int64(9),np.int64(2)),(np.int64(12),np.int64(8),np.int64(2)),(np.int64(12),np.int64(8),np.int64(1)),(np.int64(12),np.int64(8),np.int64(0)),(11,8,0)]"
"(47,13)","[(2,4,0),(np.int64(2),np.int64(5),np.int64(0)),(np.int64(2),np.int64(5),np.int64(1)),(np.int64(3),np.int64(5),np.int64(1)),(np.int64(4),np.int64(5),np.int64(1)),(np.int64(5),np.int64(5),np.int64(1)),(np.int64(6),np.int64(5),np.int64(1)),(np.int64(6),np.int64(5),np.int64(2)),(np.int64(6),np.int64(6),np.int64(2)),(np.int64(7),np.int64(6),np.int64(2)),(np.int64(7),np.int64(7),np.int64(2)),(np.int64(7),np.int64(8),np.int64(2)),(np.int64(7),np.int64(9),np.int64(2)),(np.int64(7),np.int64(9),np.int64(1)),(np.int64(7),np.int64(9),np.int64(0)),(7,10,0)]"
"(36,20)","[(1,15,0),(np.int64(1),np.int64(15),np.int64(1)),(np.int64(1),np.int64(16),np.int64(1)),(np.int64(2),np.int64(16),np.int64(1)),(np.int64(3),np.int64(16),np.int64(1)),(np.int64(4),np.int64(16),np.int64(1)),(np.int64(5),np.int64(16),np.int64(1)),(np.int64(6),np.int64(16),np.int64(1)),(np.int64(7),np.int64(16),np.int64(1)),(np.int64(8),np.int64(16),np.int64(1)),(np.int64(9),np.int64(16),np.int64(1)),(np.int64(9),np.int64(15),np.int64(1)),(np.int64(10),np.int64(15),np.int64(1)),(np.int64(11),np.int64(15),np.int64(1)),(np.int64(12),np.int64(15),np.int64(1)),(np.int64(12),np.int64(15),np.int64(2)),(np.int64(12),np.int64(15),np.int64(3)),(np.int64(12),np.int64(14),np.int64(3)),(np.int64(12),np.int64(13),np.int64(3)),(np.int64(12),np.int64(12),np.int64(3)),(np.int64(12),np.int64(11),np.int64(3)),(np.int64(12),np.int64(11),np.int64(4)),(np.int64(13),np.int64(11),np.int64(4)),(np.int64(14),np.int64(11),np.int64(4)),(np.int64(14),np.int64(10),np.int64(4)),(np.int64(14),np.int64(10),np.int64(3)),(np.int64(14),np.int64(10),np.int64(2)),(np.int64(14),np.int64(10),np.int64(1)),(np.int64(14),np.int64(11),np.int64(1)),(np.int64(14),np.int64(11),np.int64(0)),(np.int64(13),np.int64(11),np.int64(0)),(np.int64(12),np.int64(11),np.int64(0)),(12,10,0)]"
"(38,17)","[(8,1,0),(np.int64(8),np.int64(1),np.int64(1)),(np.int64(7),np.int64(1),np.int64(1)),(np.int64(7),np.int64(0),np.int64(1)),(np.int64(6),np.int64(0),np.int64(1)),(np.int64(5),np.int64(0),np.int64(1)),(np.int64(4),np.int64(0),np.int64(1)),(np.int64(3),np.int64(0),np.int64(1)),(np.int64(2),np.int64(0),np.int64(1)),(np.int64(1),np.int64(0),np.int64(1)),(np.int64(0),np.int64(0),np.int64(1)),(np.int64(0),np.int64(1),np.int64(1)),(np.int64(0),np.int64(2),np.int64(1)),(np.int64(0),np.int64(3),np.int64(1)),(np.int64(0),np.int64(4),np.int64(1)),(np.int64(0),np.int64(5),np.int64(1)),(np.int64(0),np.int64(6),np.int64(1)),(np.int64(0),np.int64(7),np.int64(1)),(np.int64(0),np.int64(8),np.int64(1)),(np.int64(0),np.int64(9),np.int64(1)),(np.int64(0),np.int64(10),np.int64(1)),(np.int64(0),np.int64(11),np.int64(1)),(np.int64(0),np.int64(12),np.int64(1)),(np.int64(0),np.int64(12),np.int64(0)),(np.int64(0),np.int64(13),np.int64(0)),(np.int64(0),np.int64(14),np.int64(0)),(np.int64(0),np.int64(15),np.int64(0)),(1,15,0)]"
"(37,5)","[(12,10,0),(np.int64(11),np.int64(10),np.int64(0)),(np.int64(11),np.int64(10),np.int64(1)),(np.int64(11),np.int64(11),np.int64(1)),(np.int64(11),np.int64(12),np.int64(1)),(np.int64(11),np.int64(13),np.int64(1)),(np.int64(10),np.int64(13),np.int64(1)),(np.int64(9),np.int64(13),np.int64(1)),(np.int64(9),np.int64(14),np.int64(1)),(np.int64(9),np.int64(14),np.int64(2)),(np.int64(8),np.int64(14),np.int64(2)),(np.int64(7),np.int64(14),np.int64(2)),(np.int64(6),np.int64(14),np.int64(2)),(np.int64(5),np.int64(14),np.int64(2)),(np.int64(4),np.int64(14),np.int64(2)),(np.int64(4),np.int64(13),np.int64(2)),(np.int64(4),np.int64(13),np.int64(3)),(np.int64(3),np.int64(13),np.int64(3)),(np.int64(2),np.int64(13),np.int64(3)),(np.int64(2),np.int64(13),np.int64(2)),(np.int64(2),np.int64(13),np.int64(1)),(np.int64(1),np.int64(13),np.int64(1)),(1,13,0)]"
"(40,16)","[(6,2,0),(np.int64(6),np.int64(3),np.int64(0)),(np.int64(7),np.int64(3),np.int64(0)),(np.int64(7),np.int64(3),np.int64(1)),(np.int64(8),np.int64(3),np.int64(1)),(np.int64(8),np.int64(4),np.int64(1)),(np.int64(8),np.int64(4),np.int64(2)),(np.int64(9),np.int64(4),np.int64(2)),(np.int64(10),np.int64(4),np.int64(2)),(np.int64(11),np.int64(4),np.int64(2)),(np.int64(12),np.int64(4),np.int64(2)),(np.int64(13),np.int64(4),np.int64(2)),(np.int64(14),np.int64(4),np.int64(2)),(np.int64(14),np.int64(5),np.int64(2)),(np.int64(14),np.int64(6),np.int64(2)),(np.int64(15),np.int64(6),np.int64(2)),(np.int64(15),np.int64(6),np.int64(1)),(np.int64(15),np.int64(7),np.int64(1)),(np.int64(15),np.int64(8),np.int64(1)),(15,8,0)]"
"(15,7)","[(4,11,0),(np.int64(5),np.int64(11),np.int64(0)),(np.int64(5),np.int64(10),np.int64(0)),(np.int64(6),np.int64(10),np.int64(0)),(np.int64(6),np.int64(10),np.int64(1)),(np.int64(7),np.int64(10),np.int64(1)),(np.int64(7),np.int64(10),np.int64(2)),(np.int64(7),np.int64(10),np.int64(3)),(np.int64(7),np.int64(10),np.int64(4)),(np.int64(7),np.int64(9),np.int64(4)),(np.int64(7),np.int64(8),np.int64(4)),(np.int64(8),np.int64(8),np.int64(4)),(np.int64(9),np.int64(8),np.int64(4)),(np.int64(9),np.int64(8),np.int64(5)),(np.int64(9),np.int64(7),np.int64(5)),(np.int64(10),np.int64(7),np.int64(5)),(np.int64(10),np.int64(6),np.int64(5)),(np.int64(11),np.int64(6),np.int64(5)),(np.int64(11),np.int64(6),np.int64(4)),(np.int64(11),np.int64(6),np.int64(3)),(np.int64(12),np.int64(6),np.int64(3)),(np.int64(13),np.int64(6),np.int64(3)),(np.int64(14),np.int64(6),np.int64(3)),(np.int64(14),np.int64(5),np.int64(3)),(np.int64(15),np.int64(5),np.int64(3)),(np.int64(15),np.int64(5),np.int64(2)),(np.int64(15),np.int64(5),np.int64(1)),(np.int64(15),np.int64(5),np.int64(0)),(15,4,0)]"
"(48,23)","[(15,4,0),(np.int64(14),np.int64(4),np.int64(0)),(np.int64(14),np.int64(5),np.int64(0)),(np.int64(13),np.int64(5),np.int64(0)),(np.int64(13),np.int64(5),np.int64(1)),(np.int64(13),np.int64(5),np.int64(2)),(np.int64(13),np.int64(5),np.int64(3)),(np.int64(13),np.int64(5),np.int64(4)),(np.int64(13),np.int64(6),np.int64(4)),(np.int64(13),np.int64(7),np.int64(4)),(np.int64(13),np.int64(8),np.int64(4)),(np.int64(13),np.int64(9),np.int64(4)),(np.int64(13),np.int64(10),np.int64(4)),(np.int64(12),np.int64(10),np.int64(4)),(np.int64(11),np.int64(10),np.int64(4)),(np.int64(10),np.int64(10),np.int64(4)),(np.int64(10),np.int64(11),np.int64(4)),(np.int64(10),np.int64(11),np.int64(3)),(np.int64(10),np.int64(11),np.int64(2)),(np.int64(9),np.int64(11),np.int64(2)),(np.int64(9),np.int64(11),np.int64(1)),(np.int64(9),np.int64(11),np.int64(0)),(10,11,0)]"
