net,wires
"(12,16)","[(16,5,0),(np.int64(16),np.int64(5),np.int64(1)),(np.int64(16),np.int64(5),np.int64(2)),(np.int64(15),np.int64(5),np.int64(2)),(np.int64(14),np.int64(5),np.int64(2)),(np.int64(13),np.int64(5),np.int64(2)),(np.int64(12),np.int64(5),np.int64(2)),(np.int64(12),np.int64(6),np.int64(2)),(np.int64(12),np.int64(7),np.int64(2)),(np.int64(12),np.int64(8),np.int64(2)),(np.int64(12),np.int64(9),np.int64(2)),(np.int64(12),np.int64(10),np.int64(2)),(np.int64(12),np.int64(11),np.int64(2)),(np.int64(12),np.int64(11),np.int64(1)),(np.int64(12),np.int64(11),np.int64(0)),(12,10,0)]"
"(16,14)","[(11,7,0),(np.int64(10),np.int64(7),np.int64(0)),(np.int64(9),np.int64(7),np.int64(0)),(np.int64(8),np.int64(7),np.int64(0)),(np.int64(7),np.int64(7),np.int64(0)),(np.int64(6),np.int64(7),np.int64(0)),(np.int64(6),np.int64(6),np.int64(0)),(np.int64(7),np.int64(6),np.int64(0)),(np.int64(7),np.int64(5),np.int64(0)),(np.int64(6),np.int64(5),np.int64(0)),(np.int64(5),np.int64(5),np.int64(0)),(np.int64(4),np.int64(5),np.int64(0)),(np.int64(3),np.int64(5),np.int64(0)),(np.int64(2),np.int64(5),np.int64(0)),(np.int64(1),np.int64(5),np.int64(0)),(np.int64(1),np.int64(4),np.int64(0)),(2,4,0)]"
"(5,4)","[(12,10,0),(np.int64(11),np.int64(10),np.int64(0)),(np.int64(11),np.int64(9),np.int64(0)),(np.int64(10),np.int64(9),np.int64(0)),(np.int64(10),np.int64(10),np.int64(0)),(np.int64(10),np.int64(10),np.int64(1)),(np.int64(10),np.int64(9),np.int64(1)),(np.int64(10),np.int64(8),np.int64(1)),(np.int64(10),np.int64(7),np.int64(1)),(np.int64(10),np.int64(6),np.int64(1)),(np.int64(10),np.int64(5),np.int64(1)),(np.int64(10),np.int64(5),np.int64(0)),(np.int64(9),np.int64(5),np.int64(0)),(9,4,0)]"
"(2,22)","[(2,4,0),(np.int64(2),np.int64(3),np.int64(0)),(np.int64(2),np.int64(3),np.int64(1)),(np.int64(2),np.int64(3),np.int64(2)),(np.int64(3),np.int64(3),np.int64(2)),(np.int64(4),np.int64(3),np.int64(2)),(np.int64(5),np.int64(3),np.int64(2)),(np.int64(6),np.int64(3),np.int64(2)),(np.int64(7),np.int64(3),np.int64(2)),(np.int64(8),np.int64(3),np.int64(2)),(np.int64(9),np.int64(3),np.int64(2)),(np.int64(9),np.int64(4),np.int64(2)),(np.int64(10),np.int64(4),np.int64(2)),(np.int64(11),np.int64(4),np.int64(2)),(np.int64(12),np.int64(4),np.int64(2)),(np.int64(13),np.int64(4),np.int64(2)),(np.int64(13),np.int64(4),np.int64(1)),(np.int64(13),np.int64(4),np.int64(0)),(13,5,0)]"
"(9,24)","[(2,4,0),(np.int64(3),np.int64(4),np.int64(0)),(np.int64(4),np.int64(4),np.int64(0)),(np.int64(4),np.int64(5),np.int64(0)),(np.int64(4),np.int64(6),np.int64(0)),(np.int64(3),np.int64(6),np.int64(0)),(np.int64(3),np.int64(7),np.int64(0)),(np.int64(3),np.int64(8),np.int64(0)),(np.int64(2),np.int64(8),np.int64(0)),(np.int64(2),np.int64(9),np.int64(0)),(np.int64(2),np.int64(10),np.int64(0)),(3,10,0)]"
"(4,1)","[(1,11,0),(np.int64(2),np.int64(11),np.int64(0)),(np.int64(2),np.int64(11),np.int64(1)),(np.int64(2),np.int64(10),np.int64(1)),(np.int64(2),np.int64(9),np.int64(1)),(np.int64(2),np.int64(8),np.int64(1)),(np.int64(2),np.int64(7),np.int64(1)),(np.int64(2),np.int64(6),np.int64(1)),(np.int64(2),np.int64(5),np.int64(1)),(np.int64(2),np.int64(4),np.int64(1)),(2,4,0)]"
"(7,10)","[(6,4,0),(np.int64(6),np.int64(4),np.int64(1)),(np.int64(6),np.int64(3),np.int64(1)),(np.int64(5),np.int64(3),np.int64(1)),(np.int64(4),np.int64(3),np.int64(1)),(np.int64(4),np.int64(2),np.int64(1)),(np.int64(3),np.int64(2),np.int64(1)),(np.int64(3),np.int64(2),np.int64(0)),(2,2,0)]"
"(15,2)","[(11,4,0),(np.int64(12),np.int64(4),np.int64(0)),(np.int64(13),np.int64(4),np.int64(0)),(np.int64(14),np.int64(4),np.int64(0)),(np.int64(14),np.int64(5),np.int64(0)),(np.int64(14),np.int64(6),np.int64(0)),(np.int64(13),np.int64(6),np.int64(0)),(np.int64(12),np.int64(6),np.int64(0)),(np.int64(12),np.int64(6),np.int64(1)),(np.int64(13),np.int64(6),np.int64(1)),(np.int64(13),np.int64(5),np.int64(1)),(13,5,0)]"
"(20,10)","[(15,4,0),(np.int64(15),np.int64(3),np.int64(0)),(np.int64(14),np.int64(3),np.int64(0)),(np.int64(14),np.int64(3),np.int64(1)),(np.int64(14),np.int64(3),np.int64(2)),(np.int64(14),np.int64(4),np.int64(2)),(np.int64(14),np.int64(4),np.int64(3)),(np.int64(13),np.int64(4),np.int64(3)),(np.int64(12),np.int64(4),np.int64(3)),(np.int64(11),np.int64(4),np.int64(3)),(np.int64(10),np.int64(4),np.int64(3)),(np.int64(9),np.int64(4),np.int64(3)),(np.int64(8),np.int64(4),np.int64(3)),(np.int64(8),np.int64(5),np.int64(3)),(np.int64(8),np.int64(6),np.int64(3)),(np.int64(8),np.int64(7),np.int64(3)),(np.int64(8),np.int64(7),np.int64(2)),(np.int64(8),np.int64(8),np.int64(2)),(np.int64(8),np.int64(8),np.int64(1)),(8,8,0)]"
"(13,21)","[(9,4,0),(np.int64(10),np.int64(4),np.int64(0)),(np.int64(10),np.int64(5),np.int64(0)),(np.int64(11),np.int64(5),np.int64(0)),(np.int64(12),np.int64(5),np.int64(0)),(np.int64(12),np.int64(6),np.int64(0)),(np.int64(11),np.int64(6),np.int64(0)),(11,7,0)]"
chip_1_net_5,507
